Date,Daily.SAIDI
2016-05-25,0.137484884
2016-05-26,1.243104317
2016-05-27,22.09303933
2016-05-28,17.65751425
2016-05-29,7.963286942
2016-05-30,2.520751297
2016-05-31,0.782592621
2016-06-01,0.470768674
2016-06-02,1.178973081
2016-06-03,0.634448756
2016-06-04,0.865807156
2016-06-05,0.432962696
2016-06-06,0.474179784
2016-06-07,0.455681754
2016-06-08,0.297600149
2016-06-09,0.332733993
2016-06-10,0.416894416
2016-06-11,0.335524363
2016-06-12,0.545316507
2016-06-13,0.969133644
2016-06-14,0.554355653
2016-06-15,0.645356032
2016-06-16,0.502710144
2016-06-17,0.210826709
2016-06-18,0.790833674
2016-06-19,2.037603308
2016-06-20,0.206517004
2016-06-21,0.210028615
2016-06-22,0.180126717
2016-06-23,0.527143625
2016-06-24,0.27455003
2016-06-25,0.227279256
2016-06-26,0.452282467
2016-06-27,0.284665125
2016-06-28,1.199427919
2016-06-29,1.630008158
2016-06-30,0.460304783
2016-07-01,0.388718764
2016-07-02,0.336257427
2016-07-03,0.183898447
2016-07-04,0.484152996
2016-07-05,0.37037444
2016-07-06,0.643470167
2016-07-07,0.775829518
2016-07-08,0.881526639
2016-07-09,0.493133024
2016-07-10,1.155473665
2016-07-11,0.721819289
2016-07-12,0.169745592
2016-07-13,0.30121226
2016-07-14,0.675169253
2016-07-15,1.194408798
2016-07-16,2.475945745
2016-07-17,1.015358029
2016-07-18,0.967466515
2016-07-19,0.245901434
2016-07-20,0.363097011
2016-07-21,0.261041561
2016-07-22,0.215768976
2016-07-23,0.323393344
2016-07-24,0.504714245
2016-07-25,0.867421078
2016-07-26,0.570341167
2016-07-27,0.742475127
2016-07-28,0.873728971
2016-07-29,0.302501033
2016-07-30,0.542401988
2016-07-31,0.366395797
2016-08-01,0.133837302
2016-08-02,0.241514877
2016-08-03,0.151844653
2016-08-04,0.192044911
2016-08-05,0.375009294
2016-08-06,0.330292418
2016-08-07,0.250140197
2016-08-08,0.28311032
2016-08-09,0.389587799
2016-08-10,0.279007529
2016-08-11,0.319816704
2016-08-12,0.11802323
2016-08-13,1.125323471
2016-08-14,1.790974722
2016-08-15,1.150484104
2016-08-16,1.087239638
2016-08-17,0.779808161
2016-08-18,0.431721217
2016-08-19,0.333065053
2016-08-20,0.599693268
2016-08-21,0.401547376
2016-08-22,0.329517972
2016-08-23,0.304138603
2016-08-24,0.644841705
2016-08-25,0.282862025
2016-08-26,0.643700727
2016-08-27,0.631540149
2016-08-28,0.389339504
2016-08-29,0.763095495
2016-08-30,0.215698034
2016-08-31,0.379519999
2016-09-01,0.219345616
2016-09-02,0.216892218
2016-09-03,0.148049276
2016-09-04,0.096403767
2016-09-05,0.342784057
2016-09-06,0.198530159
2016-09-07,0.232440259
2016-09-08,0.43530377
2016-09-09,0.134180186
2016-09-10,0.212913575
2016-09-11,0.118951383
2016-09-12,0.242632207
2016-09-13,0.196809824
2016-09-14,0.18476157
2016-09-15,0.454138773
2016-09-16,0.257133859
2016-09-17,0.166322658
2016-09-18,0.223347907
2016-09-19,0.19689259
2016-09-20,0.28383156
2016-09-21,0.483875141
2016-09-22,0.17351141
2016-09-23,0.10303681
2016-09-24,0.552327905
2016-09-25,0.715109392
2016-09-26,0.705289888
2016-09-27,0.254296194
2016-09-28,0.48085421
2016-09-29,0.118986853
2016-09-30,1.148958859
2016-10-01,0.121842254
2016-10-02,0.081092198
2016-10-03,0.059484559
2016-10-04,0.156686419
2016-10-05,0.06293114
2016-10-06,0.713229439
2016-10-07,0.245617668
2016-10-08,0.070894338
2016-10-09,0.2990781
2016-10-10,0.110367445
2016-10-11,0.210513383
2016-10-12,0.089871225
2016-10-13,0.286202193
2016-10-14,0.153387633
2016-10-15,0.047329893
2016-10-16,0.12255167
2016-10-17,0.289359096
2016-10-18,0.165294004
2016-10-19,0.203141365
2016-10-20,0.230513012
2016-10-21,0.197282769
2016-10-22,0.173062113
2016-10-23,0.126488931
2016-10-24,0.273066168
2016-10-25,0.394559625
2016-10-26,0.276217159
2016-10-27,0.099010872
2016-10-28,0.074181301
2016-10-29,0.114978651
2016-10-30,0.212115482
2016-10-31,0.149219812
2016-11-01,0.121067808
2016-11-02,0.382594137
2016-11-03,0.238074207
2016-11-04,0.221308335
2016-11-05,0.13537437
2016-11-06,0.136580378
2016-11-07,0.491176217
2016-11-08,0.467700449
2016-11-09,0.269755558
2016-11-10,0.475155232
2016-11-11,0.125767691
2016-11-12,0.504081683
2016-11-13,0.160801034
2016-11-14,0.186274992
2016-11-15,0.075416867
2016-11-16,0.128593533
2016-11-17,0.172021636
2016-11-18,0.250636788
2016-11-19,0.490638243
2016-11-20,0.290494162
2016-11-21,0.087878947
2016-11-22,0.095327819
2016-11-23,0.524938523
2016-11-24,0.096587033
2016-11-25,0.218009549
2016-11-26,0.162036601
2016-11-27,0.03554767
2016-11-28,0.635737529
2016-11-29,0.272398134
2016-11-30,0.109096407
2016-12-01,0.399484157
2016-12-02,0.092046768
2016-12-03,1.000336138
2016-12-04,0.626503293
2016-12-05,0.461493056
2016-12-06,0.211311476
2016-12-07,0.229910008
2016-12-08,0.726672879
2016-12-09,0.338610324
2016-12-10,0.072567378
2016-12-11,0.321022711
2016-12-12,0.113855409
2016-12-13,0.184117184
2016-12-14,0.068630118
2016-12-15,0.063995264
2016-12-16,0.216135507
2016-12-17,1.303865825
2016-12-18,1.561431246
2016-12-19,0.704604119
2016-12-20,0.132430293
2016-12-21,0.410947143
2016-12-22,0.510099898
2016-12-23,0.039443548
2016-12-24,0.734996697
2016-12-25,0.208875814
2016-12-26,0.156455859
2016-12-27,0.322654369
2016-12-28,0.075150836
2016-12-29,0.252835979
2016-12-30,0.225091889
2016-12-31,0.000135971
2017-01-01,0.290218331
2017-01-02,1.501566056
2017-01-03,0.111132372
2017-01-04,0.07277767
2017-01-05,0.219409234
2017-01-06,0.117643802
2017-01-07,2.625653046
2017-01-08,0.614967793
2017-01-09,0.080008386
2017-01-10,0.373066003
2017-01-11,0.34022222
2017-01-12,0.185494634
2017-01-13,0.245216995
2017-01-14,0.125042171
2017-01-15,1.038281052
2017-01-16,1.112308008
2017-01-17,0.083734611
2017-01-18,0.189502084
2017-01-19,0.273404348
2017-01-20,0.141099012
2017-01-21,1.113368008
2017-01-22,3.878540882
2017-01-23,0.410247134
2017-01-24,0.065990423
2017-01-25,0.192617187
2017-01-26,0.126145437
2017-01-27,0.31883293
2017-01-28,0.058640728
2017-01-29,0.082523182
2017-01-30,0.093891144
2017-01-31,0.218008519
2017-02-01,0.088099
2017-02-02,0.138292174
2017-02-03,0.156734015
2017-02-04,0.21738658
2017-02-05,0.126437478
2017-02-06,0.098855839
2017-02-07,0.137059113
2017-02-08,0.351617223
2017-02-09,0.111597474
