Method,Event_Grouping,Census_Division,CT,ME,MA,NH,RI,VT,NJ,NY,PA,IL,IN,MI,OH,WI,IA,KS,MN,MO,NE,ND,SD,DE,DC,FL,GA,MD,NC,SC,VA,WV,AL,KY,MS,TN,AR,LA,OK,TX,AZ,CO,ID,MT,NV,NM,UT,WY,CA,OR,WA,AK,HI
Any,All Events (With Major Event Days),2016,174,535.4,144.9,192,168.9,359.4,137.2,107.2,126.2,134.9,252.5,267.8,174.1,136.5,117.7,167.8,301.2,205.7,83.6,123.8,252.2,149.1,115,352.1,424.4,120.3,824.6,1645.4,237.7,743.4,174.8,191.9,277.4,197.2,397.3,392.9,316.6,210.8,86.3,165.5,197.2,160.7,95.7,136.3,190.1,192.5,117.1,240.3,226,192.5,128.7
Any,All Events (With Major Event Days),2017,291.3,2492.6,275.5,1113.3,728.3,873.9,85.8,227.3,176.8,119.7,212.4,778.8,248.4,203.5,119,364.8,129.7,305.8,154.3,85.9,100.6,153.9,57.5,2504.2,1049.2,116.5,264,372.8,192.9,690.8,314.5,194.1,566.8,512.8,395.4,390.6,291.2,477.6,90.7,228.5,313.8,215.4,114.4,140.6,139,217.6,233.4,295.7,269.5,152.7,252.3
Any,All Events (With Major Event Days),2018,655.5,665.3,813.3,508.8,594.8,897.6,509.7,405.5,518,142.9,285.9,442.9,242,122.8,126.8,154.8,127.4,149.6,188.2,94.4,92.1,135.9,109.2,325.4,373.2,337.1,1761.5,470.5,507.4,739.7,308,406.2,267.5,199.8,322.9,276,175.6,167.2,114.6,113.3,174.1,142.7,126.2,138.3,125.3,136.7,195.2,113.1,270.4,335.3,191.4
Any,All Events (With Major Event Days),2019,236.4,908.1,250.2,292,236.5,443.8,247.7,171,249.1,116.2,260.6,554.9,305.2,356.2,122.8,240,150.1,255.2,84,107.1,295,101.6,77,89,152.3,141.3,287.6,326.5,309,755.2,174.1,203.3,536.5,266.9,437.7,472.3,334.9,290.7,85.8,180.5,166.6,169.3,87,170.2,146.2,164.5,587.6,221.6,300,280.1,195.2
Any,All Events (With Major Event Days),2020,2642.6,1725,318.9,499.4,548.4,255.6,965.2,407.7,334.2,331.1,280.1,410.7,283.4,113.3,1758.7,107.1,127.6,152.6,113.4,101.1,97.3,271.9,44,188.7,509.9,120.3,417.9,323.8,308.6,604.2,1743.5,282.4,1496.7,588,708.4,3624.4,2922,432.7,71.9,134.2,324.9,271.3,73.3,148.2,575.1,289.7,267.1,311,261.6,268,118.7
Any,All Events (With Major Event Days),2021,145.2,325.2,518.7,234.4,448.6,313.2,138.8,142,217.8,127,285.8,873.3,244.2,311.6,133.1,341.5,120.9,259.7,516,85.4,105.6,64.3,52,80.8,145.8,127.1,205.5,120.9,434.4,1117.2,234.9,707.8,1134.4,302.7,315.9,4811.1,179.4,1175.3,106.2,180.9,475.2,309.9,102.4,221.2,116,170.5,325.2,1489.2,527.3,379.1,229.7
Any,All Events (With Major Event Days),2022,157.4,963.6,163.2,616.7,81.9,963.5,89.7,203,200.4,90.4,279.3,513.1,413.2,273.5,85.8,178.8,273.7,148,82.1,559.6,327.1,79.8,33.7,1146.3,264.3,259.1,456.3,301.1,593.9,1003.2,210.1,345.8,448.5,404.5,415.5,304,195.6,212,139.7,141.5,180.7,225.6,195.1,182.6,111.3,170.1,198.5,322.9,395.3,575.2,187.2
Any,All Events (With Major Event Days),2023,164.6,1863,259.4,645.8,104.6,744.4,108.3,120,252.7,208.2,455.4,1093.6,366.2,183,104.9,283.1,126.4,371.8,72.6,208.6,77,108.2,71.9,160.1,349.2,166.2,252,167.2,221.1,751.5,294.2,868.2,802.1,857.9,911.2,584.2,896.6,496.2,106.8,99.2,137.5,118.7,138.7,168.9,127.1,127,346.6,126.9,151.7,374.8,491.8
Any,Without Major Event Days,2013,87.9,249.5,84.8,162.8,57.3,258.6,123.4,65.1,99.5,83.3,109.1,198.6,111.9,77.9,79.1,121,87.4,98.2,54.1,88.9,94.9,128.8,124,77.8,95.6,111.4,111.2,102.4,143.3,417.6,121.6,132.8,124.4,121.3,211.4,132.4,118.3,110.2,61.7,82.9,174.4,139.4,53.3,104.7,176.2,170.9,87.3,86.1,95.7,135.9,116.2
Any,Without Major Event Days,2014,86.3,235.3,83.2,172.5,54.2,216.4,78.7,63.4,99.7,92.5,120.5,180,131.8,75.9,93.4,114.9,76.4,101,66.7,87,106.2,113.7,82,85.5,99.1,93,117.1,100.1,148.3,449.8,125.4,145.1,155.7,131,212.2,154.1,104.1,116.9,59.7,79,183.8,123.5,62.6,79.8,148.9,177.6,99.8,107,117.9,161.5,117
Any,Without Major Event Days,2015,70.2,198.7,75.6,138.2,64.3,205.6,64.6,76,98.8,88.8,120.1,178.8,141,70.3,85.5,130.7,77.8,98.2,51.9,99,106.5,114.7,112.4,77.9,109.1,109,128.2,119.3,148,458,124.9,139.7,197.5,124.9,216.8,188.9,166.8,139.1,66,83.4,266.4,142.3,55.4,99.2,155.5,165.7,91.9,102.1,110.9,155.1,116.7
Any,Without Major Event Days,2016,92,264.4,113.1,141.1,69.1,273.2,85.7,82.2,101.4,80.8,127.4,193.1,128.9,79.2,92,131.9,87.7,86.7,52,108.3,83.8,103.2,115,81.8,134.5,105.3,148.6,121.3,164.8,439.1,115.8,137.4,187.3,144.4,208.3,185.7,149.5,129.3,67.5,82.5,166,129.9,73.7,104.1,105.6,150.2,98.7,100.5,109.3,176.9,103.9
Any,Without Major Event Days,2017,68.2,238.5,92.2,151.1,59.1,246.4,71.4,72,108.7,73.3,131.1,179.4,143.4,78.8,95.2,131,73.5,93.3,69.9,67.5,81.2,83.2,57.5,78.6,122.1,85.6,146.3,117.8,142.2,451.8,115.9,120.1,211.3,142.4,178.3,192.1,140.6,133.8,51.4,78.6,248.5,161.4,87.7,115.7,114.6,191.1,100.9,111.2,129.9,136.9,112
Any,Without Major Event Days,2018,75.8,273,99,151.7,65.1,262.1,87.7,79.2,119.3,72.6,142,185,151.5,79.6,92.6,108.9,87.6,94.6,74.2,95.2,74,74.1,52.9,77.4,122.5,95,162.3,137,187.8,513.1,120.6,146.7,211.9,139.6,210,206.1,127.2,113.7,61.1,85.5,144.9,118,76.7,126,126.6,117.6,96,92.5,114,193.1,151.9
Any,Without Major Event Days,2019,60.9,213.7,96.1,111,68.2,170.1,86.8,78.9,127.7,73.9,146.2,211.1,146,93,89.8,117.3,81.2,112.8,62.4,74.3,106.7,74,55,74.2,127.7,90.6,146.2,105.6,182.1,471.3,120.2,148.5,220,161.4,221.9,208.1,139,121.8,67.2,83.6,143.9,127,77.5,128.4,115.4,130,103.9,103.6,105.6,184.1,113.4
Any,Without Major Event Days,2020,64.6,244.8,168.1,121.8,69.1,255.6,87,79.8,107.8,57.1,124.8,167.2,129.2,86.4,87.9,92.3,85.6,95.1,68.8,82.5,73.2,84.9,39,73,133.3,80.9,143.7,119.9,165.3,467.9,127.3,125.1,211.3,148.4,204.7,216.4,144.3,163.7,63.6,82.6,180.7,140.9,55.3,118.8,101.5,111.3,104,104.4,127,245.5,97.3
Any,Without Major Event Days,2021,68.6,223.5,87.2,127.1,68.8,262.4,84.7,80.3,130.2,63.5,133.1,178.4,135.9,86.4,79.5,113,82.5,97.3,60.8,85.9,62.7,64.3,42,64.8,129.4,80.2,123.6,100.7,164.9,451.6,119.1,129.8,220.6,149.4,195.9,228.2,146.5,147.4,71.7,102.6,162.1,146,69.6,131.7,100.9,116.3,142.7,116.5,150.4,230.6,115.7
Any,Without Major Event Days,2022,66.1,216.7,83,107.5,63.2,267.6,79,77.6,126.1,59,137.4,166,144,99.6,75.5,108.1,82.2,97,62.3,99.6,123.5,66.4,26.3,69.7,134.6,84.2,148.6,114.8,187.5,543.6,138.8,151.7,246.7,188.3,274.7,246.1,144.2,127.5,72.3,96.2,158.3,146.1,77,129.1,100.4,113,150.5,123.4,154.9,334.9,105.9
Any,Without Major Event Days,2023,70.3,247.4,82.2,124.6,52.2,221.3,88.5,70,119.2,56.2,110.3,162.7,127,72.4,70.4,101.7,73.4,106.7,56.8,89.9,63.2,60.4,33.3,69.2,136.8,66.9,153.5,126.1,159.3,385.7,120.2,143.4,252.8,186.1,221.7,195,139.3,124.7,69.3,88.4,119.4,117.1,81.2,132.3,109.8,96,152,108,130.6,325.7,148.6
