Total Nameplate Capacity by State and Year (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
SC,33441.46,35925.26,35937.86,35663.36,36897.32,36886.24,37690.76,38441.66,38509.15,38664.05,39848,41829,43522,44515,48233,48309,48999,50156,51398,51582,51757,51910.8,49745,49877.6,49525.6,49172.6,49476.2,49823.6,51480,52136.4,52151.2,52420.8,52462.2,52754.8,1551141.92
SD,5421.2,5472.26,5508.1,5473.1,5945.76,5940.88,5958.08,5947.32,5945.72,5945.72,5996,5958,6038,5705,5681,6072,6258,6255,6750,7003,7621,7921.6,8598.6,8763,8435,8790.6,9345.2,9345.2,8862.2,9959,11424.8,13403,13511,14465.8,259720.14
TN,37257.2,37261.4,37342.74,37343.74,37450.38,37330.88,39873.08,40335.6,40415.8,41596.8,43978,45294,46043,46074,46128,45939,46013,45926,45996,46416,47695,47169.2,48428.6,48436.8,47691.6,45685.6,48245.2,47295.8,47880.6,47974.2,47977.6,47995.2,48323,46850.2,1511663.22
TX,148264.17,148621.79,150043.34,153231.82,154994.25,154937.05,156140.83,154587.84,156801.84,160051.92,173897,188880,203407,216735,219163,219914,219338,222200,227380,223699,235470,237669,238624,238482.6,245454.6,254033.8,257351,267896.4,265309.6,270866.4,277787,299977.8,318811.2,331133.8,7391155.05
UT,10661.8,10641.06,10682.86,10830.1,10547.94,10552.76,10543.88,10534.04,10894.39,10974.29,10956,11134,12365,12507,12982,13725,14152,15041,15109,15606,15718,15943.6,16075.8,16153,18363.2,18296.2,19596.6,19622,19660.8,19624,20165.4,20668.6,20888,20234.8,501450.12
VA,32309.6,33288.58,36190.88,36931.01,37293.89,38222.41,39715.84,40433.78,40127.92,40081.56,41709,44096,43837,46082,48994,48863,48829,50539,51286,51667,51826,52763,53088.8,53140.2,56086.8,53691.8,56700.8,58855.4,63252.6,59772.2,59355.6,60437.4,61713,59578.8,1650759.87
VT,2314.33,2338.76,2408.48,2423.48,2412.41,2419.55,2422.55,2414.19,2196.35,2189.35,2196,2179,2175,2188,2188,2188,2190,2182,2217,2217,2217,2303.4,2465,2473.6,1374.8,1399.6,1469.8,1545,1615.6,1767.8,1754.8,1766.8,1777.8,1809,71199.45
WA,47562.19,48195.05,48242.63,49028.56,49855.39,49990.29,49879.39,51385.77,51450.23,51480.69,51442,52423,53596,55047,55554,56025,56704,57445,59826,61260,62127,62333.8,63181,62571,63319,63488.8,63585.6,63599.8,63760.8,63588.8,63021.4,62924.6,63259.2,62916.6,1940069.59
WI,23099.12,22824.6,22873.44,23472.01,24391.62,24931.32,25222.91,25500.1,26262.62,26409.71,27531,29007,29279,29325,30285,33527,33899,33954,36948,37122,38106,40059.2,40274.8,39142.2,39193.2,38163.8,38167.4,38327.2,34784,34651.8,35977,35731.6,36273,38192,1092907.65
WV,31186.32,31511.24,31583.68,31583.68,31718.48,31417.38,31425.3,31504.5,31523.38,31523.38,31525,33150,33970,33948,34551,34711,34696,33974,34502,34502,34704,36604,34364.4,34285.2,34277.2,31692.8,31982.4,31104,31057,31063.4,31175.8,31168.8,31398.8,31398.8,1110782.94
WY,12574.28,12562.98,12616.28,12616.68,12608.68,12771.88,12722.38,12962.78,12778.44,12776.58,13066,13345,13487,13941,13943,14176,14176,14075,15050,15900,16761,17658.2,17668.4,17855.8,18812.2,18851.8,18960.4,18960.4,19218.2,19418.2,21456.2,22790.6,22782.8,22210,541554.16
